family,group,exp,model,method,variant,train_len,eval_len,step,benchmark,pass@1,pass@4,pass@8,pass@32
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,20,livecodebench_v5,0.1742831541218638,0.26272401433691756,0.3010752688172043,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,20,livecodebench_v6,0.13857142857142857,0.18832653061224489,0.21142857142857144,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,20,aime2024,0.27291666666666664,,,0.7
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,20,aime2025,0.23854166666666668,,,0.5666666666666667
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,50,livecodebench_v5,0.1693548387096774,0.26666666666666666,0.31899641577060933,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,50,livecodebench_v6,0.13857142857142857,0.18375510204081633,0.2,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,50,aime2024,0.2708333333333333,,,0.7333333333333333
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,50,aime2025,0.23541666666666666,,,0.5
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,80,livecodebench_v5,0.18772401433691757,0.2841781874039938,0.33691756272401435,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,80,livecodebench_v6,0.135,0.18522448979591835,0.2057142857142857,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,80,aime2024,0.28541666666666665,,,0.7666666666666667
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,80,aime2025,0.2604166666666667,,,0.5666666666666667
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,8192,80,aime2024,0.2375,,,0.7
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,105,livecodebench_v5,0.18458781362007168,0.2762416794674859,0.31899641577060933,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,105,livecodebench_v6,0.12785714285714286,0.18171428571428572,0.2,
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,105,aime2024,0.29791666666666666,,,0.7
1.5B main,r1-1.5b-16k,grpo,r1-1.5b,grpo,none,16384,16384,105,aime2025,0.24791666666666667,,,0.5333333333333333
1.5B main,r1-1.5b-16k,in,r1-1.5b,intuitor,none,16384,16384,20,livecodebench_v5,0.16621863799283154,0.25760368663594474,0.30824372759856633,
1.5B main,r1-1.5b-16k,in,r1-1.5b,intuitor,none,16384,16384,20,livecodebench_v6,0.13,0.17910204081632652,0.2057142857142857,
1.5B main,r1-1.5b-16k,in,r1-1.5b,intuitor,none,16384,16384,20,aime2024,0.29375,,,0.7333333333333333
