experiment,step,aime24,aime25,lcbv5,lcbv6,ready,aime24_16k,aime25_16k,lcbv5_16k,lcbv6_16k,ready16k
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl,10,1,1,1,1,1,1,1,1,1,1
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl,50,1,1,1,1,1,1,1,1,1,1
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl,80,1,1,1,1,1,1,1,1,1,1
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl,105,1,1,1,1,1,1,1,1,1,1
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,10,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,50,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,80,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,105,0,0,0,0,0,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,10,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,50,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,80,0,0,0,0,0,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,105,0,0,0,0,0,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,10,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,50,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,80,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,105,0,0,0,0,0,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,10,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,50,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,80,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,105,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12,10,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12,50,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12,80,1,1,1,1,1,0,0,0,0,0
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12,105,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl,10,1,1,1,1,1,1,1,1,1,1
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl,50,1,1,1,1,1,1,1,1,1,1
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl,80,1,1,1,1,1,1,1,1,1,1
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl,105,1,1,1,1,1,1,1,1,1,1
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,10,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,50,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,80,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-kl0005,105,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,10,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,50,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,80,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12,105,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,10,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,50,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,80,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8,105,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,10,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,50,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,80,1,1,1,1,1,0,0,0,0,0
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp08,105,1,1,1,1,1,0,0,0,0,0
