experiment	step	progress	checkpoint_steps	latest_checkpoint	latest_ckpt_size	latest_checkpointed_iteration	error_hits	log_mtime	log_age_minutes	active	log_path
Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl	49/105	46.7%	[10, 20, 30, 40, 45]	global_step_45	19.87GB	45	27	03-23 19:10:22	0.4	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl/self-rl-jxl_Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl_grpo.log
Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-clip_ratio_c10-ppo_epoch3	8/105	7.6%	[5]	global_step_5	19.87GB	5	3	03-23 19:10:27	0.4	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-clip_ratio_c10-ppo_epoch3/self-rl-jxl_Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-clip_ratio_c10-ppo_epoch3_grpo.log
Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-n8	76/105	72.4%	[10, 20, 30, 40, 50, 60, 70]	global_step_70	19.87GB	70	121	03-23 16:09:26	181.4	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-n8/self-rl-jxl_Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-n8_grpo.log
Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-n12	59/105	56.2%	[10, 20, 30, 40, 50]	global_step_50	19.87GB	50	79	03-23 16:02:48	188.0	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-n12/self-rl-jxl_Unified-Pure-GRPO-Qwen2.5-1.5B-2K-8K-16resp-no-kl-n12_grpo.log
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl	64/105	61.0%	[10, 20, 30, 40, 50, 55, 60]	global_step_60	19.87GB	60	51	03-23 19:04:42	6.1	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl/self-rl-jxl_Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl_intuitor.log
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8	50/105	47.6%	[10, 20, 30, 40, 50]	global_step_50	19.87GB	50	81	03-23 19:10:25	0.4	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8/self-rl-jxl_Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8_intuitor.log
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12	74/105	70.5%	[10, 20, 30, 40, 50, 60, 70]	global_step_70	19.87GB	70	221	03-23 16:13:06	177.7	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12/self-rl-jxl_Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12_intuitor.log
Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12	5/105	4.8%	[]	-	-	-	33	03-23 05:23:04	827.7	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12/self-rl-jxl_Unified-Intuitor-Qwen2.5-1.5B-2k-8k-batch64-no-kl-temp12_intuitor.log
Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl	63/105	60.0%	[10, 20, 30, 40, 50, 55, 60]	global_step_60	19.87GB	60	51	03-23 19:03:51	7.0	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl/self-rl-jxl_Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl_token_entropy.log
Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8	-	-	[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 105]	global_step_105	19.87GB	105	0	03-23 18:04:36	66.2	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8/self-rl-jxl_Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8_token_entropy.log
Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12	70/105	66.7%	[10, 20, 30, 40, 50, 60, 70]	global_step_70	19.87GB	70	221	03-23 16:13:33	177.3	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12/self-rl-jxl_Unified-TokenEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12_token_entropy.log
Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl	64/105	61.0%	[10, 20, 30, 40, 50, 55, 60]	global_step_60	19.87GB	60	65	03-23 19:04:50	6.0	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl/self-rl-jxl_Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl_trajectory_entropy.log
Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8	93/105	88.6%	[10, 20, 30, 40, 50, 60, 70, 80, 85, 90]	global_step_90	19.87GB	90	73	03-23 19:08:56	1.9	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8/self-rl-jxl_Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8_trajectory_entropy.log
Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12	72/105	68.6%	[10, 20, 30, 40, 50, 60, 70]	global_step_70	19.87GB	70	207	03-23 16:17:02	173.8	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12/self-rl-jxl_Unified-TrajectoryEntropy-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12_trajectory_entropy.log
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl	62/105	59.0%	[10, 20, 30, 40, 50, 55, 60]	global_step_60	19.87GB	60	51	03-23 19:10:36	0.2	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl/self-rl-jxl_Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl_prob_disparity.log
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8	94/105	89.5%	[10, 20, 30, 40, 50, 60, 70, 80, 85, 90]	global_step_90	19.87GB	90	57	03-23 19:08:57	1.9	1	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8/self-rl-jxl_Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n8_prob_disparity.log
Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12	71/105	67.6%	[10, 20, 30, 40, 50, 60, 70]	global_step_70	19.87GB	70	177	03-23 16:14:47	176.0	0	/data_storage/wyj/jxl/ArcherCodeR/output/self-rl-jxl/Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12/self-rl-jxl_Unified-ProbDisparity-Qwen2.5-1.5B-2k-8k-batch64-no-kl-n12_prob_disparity.log

Total runs: 17
Active runs (<= 20 min): 9
